Area 1 Starting Point 1
X, Y
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.004144796251048432, 4.827832528839338e-06
0.008185940612631837, 2.1302764466312116e-05
0.012434236686961898, 5.346788957232133e-05
0.016578808002991524, 9.691759632074825e-05
0.020619623399527512, 0.00015104804669195622
0.02476387137859637, 0.00021863472182662058
0.02880430299385902, 0.0002962976919330461
0.03305162499674901, 0.0003927856922640042
0.03305162499674901, 0.0003927856922640042
0.041234526904166055, 0.0006168292738572507
0.04537727639650422, 0.0007471592949728552
0.049623186416187084, 0.0008931121476272911
0.053661469080837104, 0.0010460575461419522
0.05780282427120975, 0.0012149849206126967
0.06194377469353063, 0.0013935594724185348
0.06598067609110822, 0.0015794257705358569
0.07022388936956274, 0.0017896523244927093
0.07425939321666597, 0.0020037267847975142
0.07425939321666597, 0.0020037267847975142
0.08253548754307638, 0.0024765973285805726
0.08656911180200393, 0.002723567999573943
0.09080865543319991, 0.0029980200529943707
0.09494399948767153, 0.003277821450092897
0.09897514730023148, 0.0035623675585407717
0.10310879167784337, 0.0038662481767279292
0.10713821394775222, 0.004174266593876083
0.11137311586705535, 0.004512881218964533
0.11550374915701382, 0.004855266812351633
0.11550374915701382, 0.004855266812351633
0.12365891567452907, 0.0055647301478812874
0.12788958624255448, 0.005952648535283994
0.13191256865901838, 0.006335704211866202
0.13603754409135935, 0.006740595497590453
0.14016156510228975, 0.00715509516233925
0.14418129056489598, 0.007570939339663924
0.14840560236138317, 0.008022872937109866
0.15242232344608564, 0.008466799622775778
0.15654069522496783, 0.00893410376525558
0.15654069522496783, 0.00893410376525558
0.16467063969379417, 0.0098901801673611
0.16888762414654318, 0.010406025353162374
0.17300027354632327, 0.01092126722370508
0.1770086257130928, 0.011435302321431022
0.18111820463137707, 0.011974487248024423
0.18522651632168177, 0.012523244321762416
0.1893328825821476, 0.013086353634074788
